iter	Passed	Remaining
0	2	2370
1	4	2276
2	6	2036
3	7	1865
4	8	1757
5	10	1761
6	12	1720
7	13	1708
8	14	1649
9	16	1609
10	17	1612
11	20	1674
12	22	1725
13	24	1749
14	26	1714
15	28	1731
16	29	1707
17	31	1692
18	32	1688
19	34	1680
20	35	1663
21	36	1643
22	38	1630
23	39	1622
24	41	1616
25	42	1601
26	43	1584
27	45	1571
28	46	1571
29	48	1576
30	50	1570
31	51	1557
32	52	1547
33	54	1539
34	55	1528
35	56	1519
36	58	1510
37	59	1499
38	60	1489
39	61	1486
40	63	1483
41	64	1476
42	65	1467
43	67	1460
44	68	1455
45	69	1448
46	71	1443
47	72	1437
48	73	1430
49	74	1424
50	76	1420
51	77	1418
52	78	1409
53	80	1405
54	81	1399
55	82	1392
56	83	1387
57	85	1383
58	86	1379
59	87	1373
60	89	1371
61	90	1367
62	92	1378
63	93	1372
64	94	1366
65	96	1361
66	97	1358
67	98	1353
68	100	1349
69	101	1344
70	102	1340
71	103	1338
72	105	1341
73	107	1343
74	108	1338
75	109	1334
76	111	1331
77	112	1328
78	113	1324
79	114	1319
80	116	1317
81	117	1315
82	118	1305
83	119	1301
84	120	1298
85	122	1297
86	123	1292
87	124	1288
88	125	1285
89	126	1282
90	128	1281
91	129	1279
92	130	1274
93	131	1272
94	133	1269
95	134	1268
96	136	1269
97	137	1266
98	138	1262
99	139	1259
100	141	1258
101	142	1255
102	143	1253
103	145	1251
104	146	1250
105	148	1248
106	150	1257
107	152	1255
108	153	1253
109	154	1253
110	156	1250
111	157	1249
112	158	1247
113	160	1244
114	161	1244
115	164	1249
116	166	1254
117	168	1259
118	169	1257
119	171	1257
120	172	1255
121	173	1251
122	175	1248
123	176	1245
124	177	1245
125	179	1244
126	180	1242
127	182	1240
128	183	1242
129	186	1245
130	187	1245
131	189	1243
132	190	1243
133	192	1243
134	194	1249
135	197	1252
136	198	1251
137	200	1250
138	202	1251
139	203	1249
140	204	1247
141	205	1242
142	207	1241
143	208	1241
144	210	1243
145	212	1241
146	213	1239
147	215	1237
148	216	1237
149	218	1235
150	219	1232
151	220	1230
152	221	1227
153	223	1228
154	225	1226
155	226	1225
156	227	1222
157	229	1220
158	230	1217
159	231	1215
160	232	1210
161	233	1208
162	234	1205
163	236	1203
164	237	1204
165	239	1203
166	241	1204
167	242	1202
168	244	1202
169	245	1200
170	247	1197
171	248	1196
172	250	1195
173	251	1194
174	253	1195
175	255	1195
176	256	1194
177	258	1193
178	259	1192
179	261	1190
180	262	1188
181	264	1187
182	265	1185
183	267	1185
184	269	1185
185	270	1185
186	272	1185
187	274	1183
188	275	1181
189	276	1180
190	278	1180
191	279	1178
192	281	1179
193	283	1179
194	285	1178
195	286	1177
196	288	1175
197	289	1174
198	291	1172
199	292	1171
200	294	1170
201	297	1174
202	299	1174
203	301	1175
204	302	1173
205	304	1172
206	305	1171
207	307	1171
208	309	1171
209	312	1174
210	315	1178
211	316	1176
212	318	1175
213	319	1172
214	321	1173
215	322	1171
216	324	1169
217	327	1175
218	329	1175
219	331	1174
220	332	1173
221	334	1171
222	335	1169
223	337	1168
224	339	1168
225	341	1169
226	342	1167
227	344	1165
228	345	1162
229	346	1159
230	347	1157
231	349	1156
232	350	1155
233	352	1154
234	355	1158
235	357	1157
236	358	1155
237	360	1153
238	361	1151
239	364	1153
240	365	1151
241	367	1149
242	368	1148
243	370	1149
244	372	1149
245	374	1148
246	376	1146
247	377	1143
248	378	1141
249	379	1139
250	382	1140
251	385	1143
252	387	1142
253	388	1141
254	390	1140
255	391	1138
256	393	1137
257	394	1134
258	396	1133
259	398	1133
260	400	1133
261	401	1131
262	404	1132
263	405	1130
264	406	1127
265	407	1125
266	409	1123
267	410	1121
268	411	1118
269	413	1118
270	416	1119
271	417	1118
272	419	1117
273	420	1115
274	422	1112
275	423	1110
276	424	1108
277	426	1108
278	429	1110
279	431	1110
280	433	1109
281	435	1108
282	437	1107
283	438	1105
284	439	1102
285	441	1101
286	443	1102
287	445	1101
288	447	1100
289	449	1099
290	450	1098
291	451	1095
292	453	1093
293	455	1092
294	457	1094
295	459	1092
296	461	1093
297	463	1092
298	465	1090
299	466	1088
300	467	1086
301	469	1084
302	471	1085
303	473	1084
304	475	1082
305	477	1082
306	478	1080
307	480	1078
308	481	1076
309	482	1074
310	484	1072
311	486	1071
312	487	1070
313	490	1071
314	493	1072
315	494	1070
