iter	Passed	Remaining
0	1	160
1	2	136
2	3	125
3	4	113
4	5	112
5	7	111
6	8	112
7	9	111
8	11	113
9	13	121
10	15	122
11	16	118
12	17	115
13	18	112
14	20	114
15	22	116
16	23	114
17	24	111
18	26	111
19	28	112
20	30	114
21	32	114
22	33	112
23	34	110
24	35	107
25	36	104
26	37	102
27	39	100
28	41	101
29	42	99
30	44	98
31	46	97
32	47	95
33	48	94
34	50	93
35	51	91
36	53	90
37	54	88
38	56	88
39	59	89
40	60	87
41	61	84
42	62	82
43	63	80
44	64	78
45	65	77
46	66	75
47	67	73
48	69	72
49	71	71
50	72	69
51	73	68
52	74	66
53	76	64
54	76	62
55	77	61
56	78	59
57	80	57
58	81	56
59	82	54
60	83	53
61	84	52
62	87	51
63	88	50
64	90	48
65	91	46
66	92	45
67	93	43
68	94	42
69	95	40
70	97	39
71	98	38
72	99	36
73	102	35
74	103	34
75	104	33
76	105	31
77	107	30
78	107	28
79	109	27
80	110	25
81	111	24
82	112	22
83	113	21
84	115	20
85	117	19
86	118	17
87	119	16
88	120	14
89	121	13
90	122	12
91	123	10
92	124	9
93	125	8
94	126	6
95	130	5
96	132	4
97	133	2
98	134	1
99	135	0
